Dũng,20/08/1997,male,034 444 666,0997222000,dung@gmail.com,Silver,45 Huynh Thuc Khang
Ngọc,11/04/2000,Female,345 444 666,0933444555,Ngoc@gmail.com,Gold,45 Trung Nu Vuong
Như,30/03/1998,female,098 876 999,0998990888,Nhu@gmail.com,Platinium,120 Ba Trieu
Nhật,26/08/1999,male,088 777 678,0992003445,nhat@gmail.com,Diamond,35 Tran Hung Dao
Tân,05/03/2001,male,222 444 880,0228444003,tan@gmail.com,Member,30 Hung Vuong
Thúy,10/08/1997,female,098 098 098,0998098098,thuy@gmail.com,Diamond,20 Trung Nu Vuong
Nga,10/07/2000,female,098 876 654,0998888777,nga@gmail.com,Member,120 Nguyen Tat Thanh
Ngọc,08/09/2001,female,097 765 544,0998000890,ngoc@gmail.com,Gold,120 Le Duan
Khánh,30/05/1993,male,099 998 990,0998097665,khanh@gmail.com,Member,80 Ly Thai To
Hoa,25/08/1991,female,098 004 445,0923444236,hoa@gmail.com,Silver,75 Le Dinh Ly
Nhung,12/09/2001,female,098 008 990,0998768908,nhung@gmail.com,Member,10 Nguyen Huu Tho
